Name,Slug
German,german
Chinese,chinese
Russian,russian
French,french
Portugese,portugese
Turkish,turkish
Swedish,swedish
Korean,korean
English,english
Spanish,spanish
Japanese,japanese
Danish,danish
Electronic Music,electronic-music
Music Production,music-production
Dance Music,dance-music
Hip Hop Music,hip-hop-music
Pop Music,pop-music
DJ,dj
Anime,anime
Radio,radio
Musician,musician
Alternative Music,alternative-music
Singing,singing
Family Friendly,family-friendly
Rock Music,rock-music
Folk Music,folk-music
Jazz Music,jazz-music
Heavy Metal Music,heavy-metal-music
Radio,radio
Downtemp Music,downtemp-music
Music Talk,music-talk
Educational,educational
World Music,world-music
House Music,house-music
Festival,festival
